State,Latitude,Longitude
Jammu,-140,255
Himachal Pradesh,-108,228
Punjab,-143,206
Himachal,-68,194
Uttaakhand,-73,189
Delhi,-106,152
UP,-44,128
Rajasthan,-184,114
Gujarat,-233,32
Madhya Pradesh,-92,27
Bihar,62,96
Sikkim,117,140
Assam,201,114
Arunachal Pradesh,244,163
Nagaland,243,118
Manipur,227,77
Mizoram,208,50
Tripura,184,57
Meghalaya,166,93
West Bengal,106,38
Jharkhand,54,43
Chattisgarh,-7,7
Maharashtra,-148,-43
Telangana,-67,-79
Karnataka,-144,-148
Andhra Pradesh,-78,-225
Tamil Nadu,-87,-231
Kerala,-128,-241
